HP3458A
=======
HP3458A
REV 4,1
OPT 0,0
"  .         V DC"
CALNUM 2562
 515.357417E+00, ohm zero rear 100M upper limit 29 
-515.357417E+00, ohm zero rear 100M lower limit 29 
 0.0000000E+00, ohm zero rear 1G initial value 30 
 2.30712332E+00, ohm zero rear 1G valid cal value 30 
 5.15357417E+03, ohm zero rear 1G upper limit 30 
-5.15357417E+03, ohm zero rear 1G lower limit 30 
 0.0000000E+00, ohmf zero front 10 initial value 31 
-253.399566E-06, ohmf zero front 10 valid cal value 31 
 10.1779036E-03, ohmf zero front 10 upper limit 31 
-10.1779036E-03, ohmf zero front 10 lower limit 31 
 0.0000000E+00, ohmf zero front 100 initial value 32 
-2.58929481E-03, ohmf zero front 100 valid cal value 32 
 10.1771043E-03, ohmf zero front 100 upper limit 32 
-10.1771043E-03, ohmf zero front 100 lower limit 32 
 0.0000000E+00, ohmf zero front 1K initial value 33 
-2.50347784E-03, ohmf zero front 1K valid cal value 33 
 101.893480E-03, ohmf zero front 1K upper limit 33 
-101.893480E-03, ohmf zero front 1K lower limit 33 
 0.0000000E+00, ohmf zero front 10K initial value 34 
-25.0483658E-03, ohmf zero front 10K valid cal value 34 
 1.01917671E+00, ohmf zero front 10K upper limit 34 
-1.01917671E+00, ohmf zero front 10K lower limit 34 
 0.0000000E+00, ohmf zero front 100K initial value 35 
-30.9455524E-03, ohmf zero front 100K valid cal value 35 
 10.1853706E+00, ohmf zero front 100K upper limit 35 
-10.1853706E+00, ohmf zero front 100K lower limit 35 
 0.0000000E+00, ohmf zero front 1M initial value 36 
-353.576784E-03, ohmf zero front 1M valid cal value 36 
 101.878056E+00, ohmf zero front 1M upper limit 36 
-101.878056E+00, ohmf zero front 1M lower limit 36 
 0.0000000E+00, ohmf zero front 10M initial value 37 
-2.54682445E+00, ohmf zero front 10M valid cal value 37 
 1.01872978E+03, ohmf zero front 10M upper limit 37 
-1.01872978E+03, ohmf zero front 10M lower limit 37 
 0.0000000E+00, ohmf zero front 100M initial value 38 
-3.11611462E+00, ohmf zero front 100M valid cal value 38 
 10.1872978E+03, ohmf zero front 100M upper limit 38 
-10.1872978E+03, ohmf zero front 100M lower limit 38 
 0.0000000E+00, ohmf zero front 1G initial value 39 
-3.11611462E+00, ohmf zero front 1G valid cal value 39 
 101.872978E+03, ohmf zero front 1G upper limit 39 
-101.872978E+03, ohmf zero front 1G lower limit 39 
 0.0000000E+00, ohmf zero rear 10 initial value 40 
-232.371568E-06, ohmf zero rear 10 valid cal value 40 
 10.1779036E-03, ohmf zero rear 10 upper limit 40 
-10.1779036E-03, ohmf zero rear 10 lower limit 40 
 0.0000000E+00, ohmf zero rear 100 initial value 41 
-2.28656337E-03, ohmf zero rear 100 valid cal value 41 
 10.1771043E-03, ohmf zero rear 100 upper limit 41 
-10.1771043E-03, ohmf zero rear 100 lower limit 41 
 0.0000000E+00, ohmf zero rear 1K initial value 42 
-2.08910103E-03, ohmf zero rear 1K valid cal value 42 
 101.893480E-03, ohmf zero rear 1K upper limit 42 
-101.893480E-03, ohmf zero rear 1K lower limit 42 
 0.0000000E+00, ohmf zero rear 10K initial value 43 
-22.2339393E-03, ohmf zero rear 10K valid cal value 43 
 1.01917671E+00, ohmf zero rear 10K upper limit 43 
-1.01917671E+00, ohmf zero rear 10K lower limit 43 
 0.0000000E+00, ohmf zero rear 100K initial value 44 
-36.5175493E-03, ohmf zero rear 100K valid cal value 44 
 10.1853706E+00, ohmf zero rear 100K upper limit 44 
-10.1853706E+00, ohmf zero rear 100K lower limit 44 
 0.0000000E+00, ohmf zero rear 1M initial value 45 
-326.609063E-03, ohmf zero rear 1M valid cal value 45 
 101.878056E+00, ohmf zero rear 1M upper limit 45 
-101.878056E+00, ohmf zero rear 1M lower limit 45 
 0.0000000E+00, ohmf zero rear 10M initial value 46 
-3.50562894E+00, ohmf zero rear 10M valid cal value 46 
 1.01872978E+03, ohmf zero rear 10M upper limit 46 
-1.01872978E+03, ohmf zero rear 10M lower limit 46 
 0.0000000E+00, ohmf zero rear 100M initial value 47 
-3.77529271E+00, ohmf zero rear 100M valid cal value 47 
 10.1872978E+03, ohmf zero rear 100M upper limit 47 
-10.1872978E+03, ohmf zero rear 100M lower limit 47 
 0.0000000E+00, ohmf zero rear 1G initial value 48 
-3.77529271E+00, ohmf zero rear 1G valid cal value 48 
 101.872978E+03, ohmf zero rear 1G upper limit 48 
-101.872978E+03, ohmf zero rear 1G lower limit 48 
0, autorange offset ohm 10 initial value 49 
416, autorange offset ohm 10 valid cal value 49 
20000, autorange offset ohm 10 upper limit 49 
-20000, autorange offset ohm 10 lower limit 49 
0, autorange offset ohm 100 initial value 50 
41, autorange offset ohm 100 valid cal value 50 
20000, autorange offset ohm 100 upper limit 50 
-20000, autorange offset ohm 100 lower limit 50 
0, autorange offset ohm 1k initial value 51 
4, autorange offset ohm 1k valid cal value 51 
20000, autorange offset ohm 1k upper limit 51 
-20000, autorange offset ohm 1k lower limit 51 
0, autorange offset ohm 10k initial value 52 
0, autorange offset ohm 10k valid cal value 52 
20000, autorange offset ohm 10k upper limit 52 
-20000, autorange offset ohm 10k lower limit 52 
0, autorange offset ohm 100k initial value 53 
0, autorange offset ohm 100k valid cal value 53 
20000, autorange offset ohm 100k upper limit 53 
-20000, autorange offset ohm 100k lower limit 53 
0, autorange offset ohm 1M initial value 54 
0, autorange offset ohm 1M valid cal value 54 
20000, autorange offset ohm 1M upper limit 54 
-20000, autorange offset ohm 1M lower limit 54 
0, autorange offset ohm 10M initial value 55 
0, autorange offset ohm 10M valid cal value 55 
20000, autorange offset ohm 10M upper limit 55 
-20000, autorange offset ohm 10M lower limit 55 
0, autorange offset ohm 100M initial value 56 
0, autorange offset ohm 100M valid cal value 56 
20000, autorange offset ohm 100M upper limit 56 
-20000, autorange offset ohm 100M lower limit 56 
0, autorange offset ohm 1G initial value 57 
0, autorange offset ohm 1G valid cal value 57 
20000, autorange offset ohm 1G upper limit 57 
-20000, autorange offset ohm 1G lower limit 57 
 32.0000000E+00, cal 0 temperature initial value 58 
 34.7521043E+00, cal 0 temperature valid cal value 58 
 100.000000E+00, cal 0 temperature upper limit 58 
-20.0000000E+00, cal 0 temperature lower limit 58 
 32.0000000E+00, cal 10 temperature initial value 59 
 34.2893738E+00, cal 10 temperature valid cal value 59 
 100.000000E+00, cal 10 temperature upper limit 59 
-20.0000000E+00, cal 10 temperature lower limit 59 
 32.0000000E+00, cal 10k temperature initial value 60 
 34.2256161E+00, cal 10k temperature valid cal value 60 
 100.000000E+00, cal 10k temperature upper limit 60 
-20.0000000E+00, cal 10k temperature lower limit 60 
128, vos dac initial value 61 
181, vos dac valid cal value 61 
253, vos dac upper limit 61 
0, vos dac lower limit 61 
 0.0000000E+00, dci zero rear 100nA initial value 62 
 7.39163988E-12, dci zero rear 100nA valid cal value 62 
 10.0714975E-09, dci zero rear 100nA upper limit 62 
-10.0714975E-09, dci zero rear 100nA lower limit 62 
 0.0000000E+00, dci zero rear 1uA initial value 63 
-21.2388842E-12, dci zero rear 1uA valid cal value 63 
 1.00974991E-09, dci zero rear 1uA upper limit 63 
-1.00974991E-09, dci zero rear 1uA lower limit 63 
 0.0000000E+00, dci zero rear 10uA initial value 64 
-182.467131E-12, dci zero rear 10uA valid cal value 64 
 3.01650365E-09, dci zero rear 10uA upper limit 64 
-3.01650365E-09, dci zero rear 10uA lower limit 64 
 0.0000000E+00, dci zero rear 100uA initial value 65 
-1.27882832E-09, dci zero rear 100uA valid cal value 65 
 29.9633726E-09, dci zero rear 100uA upper limit 65 
-29.9633726E-09, dci zero rear 100uA lower limit 65 
 0.0000000E+00, dci zero rear 1mA initial value 66 
-9.54595299E-09, dci zero rear 1mA valid cal value 66 
 300.454902E-09, dci zero rear 1mA upper limit 66 
-300.454902E-09, dci zero rear 1mA lower limit 66 
 0.0000000E+00, dci zero rear 10mA initial value 67 
-90.9094681E-09, dci zero rear 10mA valid cal value 67 
 3.03593500E-06, dci zero rear 10mA upper limit 67 
-3.03593500E-06, dci zero rear 10mA lower limit 67 
 0.0000000E+00, dci zero rear 100mA initial value 68 
-774.046479E-09, dci zero rear 100mA valid cal value 68 
 30.4599440E-06, dci zero rear 100mA upper limit 68 
-30.4599440E-06, dci zero rear 100mA lower limit 68 
 0.0000000E+00, dci zero rear 1A initial value 69 
-10.8336944E-06, dci zero rear 1A valid cal value 69 
 3.29468346E-03, dci zero rear 1A upper limit 69 
-3.29468346E-03, dci zero rear 1A lower limit 69 
 1.00000000E+00, dcv gain 100mV initial value 70 
 992.581645E-03, dcv gain 100mV valid cal value 70 
 1.06000000E+00, dcv gain 100mV upper limit 70 
 940.000000E-03, dcv gain 100mV lower limit 70 
 1.00000000E+00, dcv gain 1V initial value 71 
 993.775774E-03, dcv gain 1V valid cal value 71 
 1.06000000E+00, dcv gain 1V upper limit 71 
 940.000000E-03, dcv gain 1V lower limit 71 
 1.00000000E+00, dcv gain 10V initial value 72 
 993.368377E-03, dcv gain 10V valid cal value 72 
 1.04000000E+00, dcv gain 10V upper limit 72 
 960.000000E-03, dcv gain 10V lower limit 72 
 1.00000000E+00, dcv gain 100V initial value 73 
 994.361042E-03, dcv gain 100V valid cal value 73 
 1.06000000E+00, dcv gain 100V upper limit 73 
 940.000000E-03, dcv gain 100V lower limit 73 
 1.00000000E+00, dcv gain 1KV initial value 74 
 993.953405E-03, dcv gain 1KV valid cal value 74 
 1.06000000E+00, dcv gain 1KV upper limit 74 
 940.000000E-03, dcv gain 1KV lower limit 74 
 1.00000000E+00, ohm gain 10 initial value 75 
 999.676183E-03, ohm gain 10 valid cal value 75 
 1.03017776E+00, ohm gain 10 upper limit 75 
 969.822241E-03, ohm gain 10 lower limit 75 
 1.00000000E+00, ohm gain 100 initial value 76 
 999.597677E-03, ohm gain 100 valid cal value 76 
 1.03017776E+00, ohm gain 100 upper limit 76 
 969.822241E-03, ohm gain 100 lower limit 76 
 1.00000000E+00, ohm gain 1K initial value 77 
 1.00080025E+00, ohm gain 1K valid cal value 77 
 1.03017776E+00, ohm gain 1K upper limit 77 
 969.822241E-03, ohm gain 1K lower limit 77 
 1.00000000E+00, ohm gain 10K initial value 78 
 1.00103785E+00, ohm gain 10K valid cal value 78 
 1.03017776E+00, ohm gain 10K upper limit 78 
 969.822241E-03, ohm gain 10K lower limit 78 
 1.00000000E+00, ohm gain 100K initial value 79 
 1.00040959E+00, ohm gain 100K valid cal value 79 
 1.03017776E+00, ohm gain 100K upper limit 79 
 969.822241E-03, ohm gain 100K lower limit 79 
 1.00000000E+00, ohm gain 1M initial value 80 
 1.00064876E+00, ohm gain 1M valid cal value 80 
 1.03017776E+00, ohm gain 1M upper limit 80 
 969.822241E-03, ohm gain 1M lower limit 80 
 1.00000000E+00, ohm gain 10M initial value 81 
 1.00059888E+00, ohm gain 10M valid cal value 81 
 1.03017776E+00, ohm gain 10M upper limit 81 
 969.822241E-03, ohm gain 10M lower limit 81 
 1.00000000E+00, ohm gain 100M initial value 82 
 1.00059888E+00, ohm gain 100M valid cal value 82 
 1.03017776E+00, ohm gain 100M upper limit 82 
 969.822241E-03, ohm gain 100M lower limit 82 
 1.00000000E+00, ohm gain 1G initial value 83 
 1.00059888E+00, ohm gain 1G valid cal value 83 
 1.03017776E+00, ohm gain 1G upper limit 83 
 969.822241E-03, ohm gain 1G lower limit 83 
 1.00000000E+00, ohm ocomp gain 10 initial value 84 
 999.676190E-03, ohm ocomp gain 10 valid cal value 84 
 1.03017776E+00, ohm ocomp gain 10 upper limit 84 
 969.822241E-03, ohm ocomp gain 10 lower limit 84 
 1.00000000E+00, ohm ocomp gain 100 initial value 85 
 999.597745E-03, ohm ocomp gain 100 valid cal value 85 
 1.03017776E+00, ohm ocomp gain 100 upper limit 85 
 969.822241E-03, ohm ocomp gain 100 lower limit 85 
 1.00000000E+00, ohm ocomp gain 1k initial value 86 
 1.00080032E+00, ohm ocomp gain 1k valid cal value 86 
 1.03017776E+00, ohm ocomp gain 1k upper limit 86 
 969.822241E-03, ohm ocomp gain 1k lower limit 86 
 1.00000000E+00, ohm ocomp gain 10k initial value 87 
 1.00103848E+00, ohm ocomp gain 10k valid cal value 87 
 1.03017776E+00, ohm ocomp gain 10k upper limit 87 
 969.822241E-03, ohm ocomp gain 10k lower limit 87 
 1.00000000E+00, ohm ocomp gain 100k initial value 88 
 1.00041097E+00, ohm ocomp gain 100k valid cal value 88 
 1.03017776E+00, ohm ocomp gain 100k upper limit 88 
 969.822241E-03, ohm ocomp gain 100k lower limit 88 
 1.00000000E+00, ohm ocomp gain 1M initial value 89 
 1.00064876E+00, ohm ocomp gain 1M valid cal value 89 
 1.03017776E+00, ohm ocomp gain 1M upper limit 89 
 969.822241E-03, ohm ocomp gain 1M lower limit 89 
 1.00000000E+00, ohm ocomp gain 10M initial value 90 
 1.00059888E+00, ohm ocomp gain 10M valid cal value 90 
 1.03017776E+00, ohm ocomp gain 10M upper limit 90 
 969.822241E-03, ohm ocomp gain 10M lower limit 90 
 1.00000000E+00, ohm ocomp gain 100M initial value 91 
 1.00059888E+00, ohm ocomp gain 100M valid cal value 91 
 1.03017776E+00, ohm ocomp gain 100M upper limit 91 
 969.822241E-03, ohm ocomp gain 100M lower limit 91 
 1.00000000E+00, ohm ocomp gain 1G initial value 92 
 1.00059888E+00, ohm ocomp gain 1G valid cal value 92 
 1.03017776E+00, ohm ocomp gain 1G upper limit 92 
 969.822241E-03, ohm ocomp gain 1G lower limit 92 
 1.00000000E+00, dci gain 100nA initial value 93 
 994.132392E-03, dci gain 100nA valid cal value 93 
 1.07000000E+00, dci gain 100nA upper limit 93 
 940.000000E-03, dci gain 100nA lower limit 93 
 1.00000000E+00, dci gain 1uA initial value 94 
 992.563266E-03, dci gain 1uA valid cal value 94 
 1.05016975E+00, dci gain 1uA upper limit 94 
 949.830253E-03, dci gain 1uA lower limit 94 
 1.00000000E+00, dci gain 10uA initial value 95 
 991.439103E-03, dci gain 10uA valid cal value 95 
 1.07017544E+00, dci gain 10uA upper limit 95 
 930.263158E-03, dci gain 10uA lower limit 95 
 1.00000000E+00, dci gain 100uA initial value 96 
 991.161441E-03, dci gain 100uA valid cal value 96 
 1.06998654E+00, dci gain 100uA upper limit 96 
 929.891105E-03, dci gain 100uA lower limit 96 
 1.00000000E+00, dci gain 1mA initial value 97 
 992.306278E-03, dci gain 1mA valid cal value 97 
 1.07005838E+00, dci gain 1mA upper limit 97 
 929.941618E-03, dci gain 1mA lower limit 97 
 1.00000000E+00, dci gain 10mA initial value 98 
 992.495370E-03, dci gain 10mA valid cal value 98 
 1.06986532E+00, dci gain 10mA upper limit 98 
 929.292929E-03, dci gain 10mA lower limit 98 
 1.00000000E+00, dci gain 100mA initial value 99 
 997.956718E-03, dci gain 100mA valid cal value 99 
 1.07974335E+00, dci gain 100mA upper limit 99 
 919.340055E-03, dci gain 100mA lower limit 99 
 1.00000000E+00, dci gain 1A initial value 100 
 1.08722162E+00, dci gain 1A valid cal value 100 
 1.12000000E+00, dci gain 1A upper limit 100 
 880.000000E-03, dci gain 1A lower limit 100 
64, precharge dac initial value 101 
64, precharge dac valid cal value 101 
126, precharge dac upper limit 101 
0, precharge dac lower limit 101 
64, mc dac initial value 102 
88, mc dac valid cal value 102 
126, mc dac upper limit 102 
0, mc dac lower limit 102 
